# This dataset contains measures of odontoblasts (cells responsible for tooth growth) in 60 guinea pigs
# in response to vitamin C supplements in the form of orange juice or ascorbic acid
cell_length,delivery_method
4.2,ascorbic_acid
11.5,ascorbic_acid
7.3,ascorbic_acid
5.8,Ascorbic_acid
6.4,ascorbic_acid
10,ascorbic_acid
11.2,ascorbic_acid
11.2,ascorbic_acid
5.2,ascorbic_acid
7,ascorbic_acid
16.5,ascorbic_acid
16.5,ascorbic_acid
15.2,ascorbic_acid
17.3,ascorbic_acid
22.5,ascorbic_acid
17.3,ascorbic_acid
13.6,ascorbic_acid
14.5,ascorbic_acid
18.8,ascorbic_acid
15.5,ascorbic_acid
23.6,ascorbic_acid
18.5,ascorbic_acid
33.9,ascorbic_acid
25.5,ascorbic_acid
26.4,ascorbic_acid
32.5,ascorbic_acid
26.7,ascorbic_acid
N/A,ascorbic_acid
23.3,ascorbic_acid
29.5,ascorbic_acid
15.2,orange_juice
21.5,orange_juice
17.6,orange_juice
9.7,orange_juice
14.5,orange_juicE
100,orange_juice
8.2,orange_juice
9.4,orange_juice
16.5,orange_juice
9.7,orange_juice
19.7,orange_juice
23.3,orange_juice
23.6,orange_juice
26.4,orange_juice
20,orange_juice
25.2,orange_juice
25.8,orange_juice
21.2,orange_juice
14.5,orange_juice
27.3,orange_juice
25.5,orange_juice
26.4,orange_juice
22.4,orange_juice
24.5,orange_juice
24.8,orange_juice
30.9,orange_juice
26.4,orange_juice
27.3,orange_juice
29.4,orange_juice
23,orange_juice
